id;ident;name;description;path_name;file_name;latest_version;is_template;is_active
1;Lead;Principal Senior;../fake-data/blob/hipster.txt;Paraguay;Sleek Tuna magenta;Wells;true;true
2;iterate protocol;web-enabled Brand Regional;../fake-data/blob/hipster.txt;Generic B2B;olive;facilitate Persevering;false;false
3;Engineer Architect;Beauty dynamic schemas;../fake-data/blob/hipster.txt;Pound Sterling Keyboard;Licensed Usability models;Personal Loan Account markets;true;true
4;Aruba Chair portals;online Strategist Shirt;../fake-data/blob/hipster.txt;navigate redefine;generating bypassing Bypass;Plastic Movies;false;true
5;haptic Producer Agent;Rhode Island capacitor;../fake-data/blob/hipster.txt;navigating Ergonomic Falls;User-friendly;Savings Account;false;true
6;calculate Fantastic Concrete Computer Baby;Kyrgyz Republic transmit;../fake-data/blob/hipster.txt;solution connecting;California PNG engage;Burg;false;true
7;Credit Card Account transmitter cyan;Checking Account;../fake-data/blob/hipster.txt;seamless New York mesh;Unbranded array;Berkshire solid state;false;false
8;Switzerland CFP Franc;Granite Configuration Buckinghamshire;../fake-data/blob/hipster.txt;Practical Steel Chips;Berkshire concept;Illinois robust;true;false
9;Rubber Shirt;Pakistan Rupee;../fake-data/blob/hipster.txt;Chicken;e-business RSS;Rand Soap;false;false
10;hacking;even-keeled Chair;../fake-data/blob/hipster.txt;Brazil;Island cyan;Granite open architecture;false;false
