id;ident;cnpj;fantasy_name;social_reason;acronym;address;phone;description;image;image_content_type;url;automatic_instantiation
1;RSS sky blue Intelligent;model;Savings Account;deposit Integrated;Checking Account Avon;bi-directional Credit Card Account Kenyan Shilling;447-760-9318 x167;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;http://kody.org;false
2;Gorgeous Generic Investor;monetize;Future-proofed extensible;convergence;Handcrafted Soft Car Profit-focused Ethiopia;Credit Card Account Pataca Function-based;(316) 093-6359 x744;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;http://andy.name;true
3;Usability;payment;mint green Indonesia Practical;synthesizing Garden;invoice;Via enhance Cotton;109.797.5286 x50620;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;https://nicolas.org;false
4;connecting back-end;Small Wooden Gloves Expanded viral;Incredible Integration;Bedfordshire navigating;Village;XML Sausages;459.583.2593 x1586;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;http://margot.org;true
5;transmitter Soft orange;Incredible utilize Keyboard;Future-proofed Metrics North Carolina;generating Granite FTP;Investment Account Rubber Legacy;Gloves Cambridgeshire revolutionize;1-631-040-5129;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;http://katherine.net;true
6;e-markets;Optimization;solutions Refined deposit;Kids;withdrawal Shirt;South Carolina;420.497.0662;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;https://hilton.biz;false
7;Rustic;data-warehouse Intelligent Saudi Riyal;Home Loan Account;Manager open-source;orange Soap;Suriname models;1-784-461-3354;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;http://rhea.biz;true
8;parse Computers;Granite synergies;logistical synthesize Concrete;Savings Account access;Pre-emptive Officer primary;Sleek Cotton Computer intermediate withdrawal;(820) 141-1832 x764;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;https://garrison.name;false
9;Key mobile Direct;Licensed withdrawal Quality;markets Extended programming;Triple-buffered;Stream withdrawal withdrawal;Points Polarised Senior;(581) 179-5460 x000;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;https://michele.name;false
10;Ergonomic Steel Chair Optimization interface;Green Director;reboot invoice grey;partnerships;invoice bypass;synergies;(059) 827-7269;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;http://mara.biz;false
