id;tipo;app_key;app_secret;app_key_google;app_secret_google;request_url
1;disintermediate Walks Credit Card Account;payment;XSS solid state Handmade Granite Fish;Concrete;Planner;Health
2;Savings Account Rupiah;back up Tactics;Borders;PCI;Sports;24/365
3;Frozen;magenta Turkish Lira;green Chicken Tasty;Metal Lead;Communications Generic Granite Gloves;Accountability Assurance Auto Loan Account
4;seamless indexing Handcrafted;Malta Auto Loan Account online;deposit Central African Republic;markets protocol Savings Account;Shoes HDD;utilisation
5;out-of-the-box Pizza;systems Sleek Wooden Towels Clothing;Fundamental Designer;Borders Intelligent whiteboard;Practical Steel Mouse;indexing
6;XSS;mindshare navigating Money Market Account;drive Analyst Awesome Fresh Hat;Michigan Clothing;Borders HDD;redundant withdrawal Planner
7;National;benchmark;invoice program;synthesize;Investor Tuna;redefine
8;Shirt SDD;communities Refined;Pike Borders;payment Rustic;envisioneer Coordinator;SMTP
9;matrices;Savings Account redefine Multi-channelled;Team-oriented;initiatives;Jordan;Uganda Shilling Cotton
10;Persevering Personal Loan Account;De-engineered strategic integrate;array payment;optical transmitter;Utah COM;Botswana
