id;value;unit;period_begin;period_end
1;43381;Regional matrix;2019-10-13;2019-10-13
2;8928;Australian Dollar;2019-10-13;2019-10-13
3;38764;invoice feed Games;2019-10-13;2019-10-13
4;71304;deposit Engineer hack;2019-10-13;2019-10-13
5;70254;data-warehouse Sleek bluetooth;2019-10-13;2019-10-13
6;4818;dot-com;2019-10-13;2019-10-13
7;50040;vortals Court orchid;2019-10-13;2019-10-13
8;36981;Refined Soft Mouse;2019-10-13;2019-10-13
9;82217;calculating grey;2019-10-13;2019-10-13
10;47228;THX indigo El Salvador Colon US Dollar;2019-10-13;2019-10-14
