id;name;description;kind;range_from;range_to;how_to_measure
1;24/7 sensor;../fake-data/blob/hipster.txt;Associate Iceland Syrian Pound;31186;45491;../fake-data/blob/hipster.txt
2;reciprocal sky blue Frozen;../fake-data/blob/hipster.txt;Rubber Movies navigate;80715;36773;../fake-data/blob/hipster.txt
3;Ball;../fake-data/blob/hipster.txt;Garden encompassing;77314;73902;../fake-data/blob/hipster.txt
4;Future-proofed withdrawal;../fake-data/blob/hipster.txt;Toys monitoring;64645;54838;../fake-data/blob/hipster.txt
5;IB Armenian Dram Tonga;../fake-data/blob/hipster.txt;multi-byte virtual Falls;39800;15232;../fake-data/blob/hipster.txt
6;Senior;../fake-data/blob/hipster.txt;Upgradable Phased Berkshire;74744;5971;../fake-data/blob/hipster.txt
7;Azerbaijanian Manat West Virginia;../fake-data/blob/hipster.txt;Integration haptic Technician;54448;64459;../fake-data/blob/hipster.txt
8;Arkansas navigate teal;../fake-data/blob/hipster.txt;orchid Fresh Auto Loan Account;78132;31514;../fake-data/blob/hipster.txt
9;bifurcated Assistant;../fake-data/blob/hipster.txt;invoice orchestrate;67413;64281;../fake-data/blob/hipster.txt
10;cross-platform;../fake-data/blob/hipster.txt;National object-oriented Mountains;89014;6062;../fake-data/blob/hipster.txt
