id;how_long;how_long_unit;planned_begin;planned_end;script;delegable;auto_allocable
1;76452;South Dakota Applications;2019-10-04;2019-10-03;../fake-data/blob/hipster.txt;false;false
2;85396;systems;2019-10-04;2019-10-04;../fake-data/blob/hipster.txt;true;false
3;6245;AGP;2019-10-04;2019-10-04;../fake-data/blob/hipster.txt;true;true
4;62659;Mobility;2019-10-04;2019-10-04;../fake-data/blob/hipster.txt;false;true
5;68772;bus;2019-10-04;2019-10-04;../fake-data/blob/hipster.txt;false;true
6;29939;transparent cross-platform;2019-10-04;2019-10-04;../fake-data/blob/hipster.txt;false;true
7;95744;Industrial Manager Zimbabwe Dollar;2019-10-04;2019-10-04;../fake-data/blob/hipster.txt;false;false
8;1431;array;2019-10-04;2019-10-04;../fake-data/blob/hipster.txt;true;false
9;14285;reboot;2019-10-04;2019-10-04;../fake-data/blob/hipster.txt;true;true
10;76611;calculating Checking Account Fantastic;2019-10-04;2019-10-04;../fake-data/blob/hipster.txt;false;false
