id;date;time;event
1;2019-10-14;2019-10-13T05:02:11;synthesizing mesh
2;2019-10-14;2019-10-13T18:55:50;withdrawal
3;2019-10-13;2019-10-14T02:03:34;Shoes
4;2019-10-13;2019-10-13T11:28:03;copy Rustic Fresh Hat Checking Account
5;2019-10-13;2019-10-13T03:54:56;metrics engage
6;2019-10-13;2019-10-13T12:29:40;Orchestrator
7;2019-10-13;2019-10-13T08:50:43;Sudanese Pound Cotton
8;2019-10-13;2019-10-13T20:56:39;Auto Loan Account Markets
9;2019-10-13;2019-10-13T17:31:18;Home Loan Account deposit
10;2019-10-13;2019-10-13T02:32:32;Analyst invoice
