id;why;from_date;to_date
1;../fake-data/blob/hipster.txt;deposit Station;parsing Investment Account
2;../fake-data/blob/hipster.txt;Branding Dynamic black;yellow
3;../fake-data/blob/hipster.txt;Books Generic;robust withdrawal generate
4;../fake-data/blob/hipster.txt;Garden open-source hybrid;Solomon Islands Dollar
5;../fake-data/blob/hipster.txt;Personal Loan Account HTTP;schemas Specialist China
6;../fake-data/blob/hipster.txt;quantify multi-byte;interface Cotton Robust
7;../fake-data/blob/hipster.txt;user-centric Infrastructure;Managed Dobra application
8;../fake-data/blob/hipster.txt;Fantastic;Liechtenstein Buckinghamshire monetize
9;../fake-data/blob/hipster.txt;Direct;Small Frozen Salad bypassing
10;../fake-data/blob/hipster.txt;time-frame Quality;Borders Borders Practical
