id;name;developer_name;config_file_path
1;Self-enabling primary Awesome;Island;Tasty
2;white Unbranded Rubber Cheese;Kwanza Credit Card Account EXE;Refined
3;multi-byte;knowledge base Functionality navigating;open-source Industrial redundant
4;intuitive;Steel;Kyat
5;white Orchestrator;Customer-focused Ohio;Internal transmit
6;Turnpike;cross-platform Bacon;knowledge user
7;Computer;Island Cambridgeshire generating;Shirt
8;;navigate online disintermediate;Solutions
9;UIC-Franc;Comoro Franc;Checking Account Applications
10;communities;payment;Director Washington
