id;ident;name;description;mtbf_time;mtbf_unit_time;currency;cost;is_active
1;Nigeria Frozen;Practical Fresh Hat regional e-markets;../fake-data/blob/hipster.txt;2191;matrices;paradigms Meadows;2831;true
2;Gorgeous;interface Baby ROI;../fake-data/blob/hipster.txt;92402;Wooden;Licensed Concrete Sausages payment;88169;true
3;quantifying Court virtual;system engine;../fake-data/blob/hipster.txt;24995;Borders El Salvador;navigate Refined;87263;true
4;conglomeration Forward Data;withdrawal;../fake-data/blob/hipster.txt;37352;value-added Synergized;Unbranded;39273;false
5;connecting mission-critical;SAS Silver;../fake-data/blob/hipster.txt;83790;RSS index;Kids clear-thinking;45918;true
6;Fish Jamaican Dollar;Avon;../fake-data/blob/hipster.txt;42960;driver;firewall application Bedfordshire;16136;true
7;value-added;Fish Human;../fake-data/blob/hipster.txt;24153;turn-key;Idaho;11841;true
8;Money Market Account;Car;../fake-data/blob/hipster.txt;24372;contextually-based one-to-one;Intranet Personal Loan Account Massachusetts;41577;true
9;EXE Solomon Islands Dollar;El Salvador Colon US Dollar Mouse;../fake-data/blob/hipster.txt;50011;architectures;New York Beauty Research;69662;true
10;Frozen magnetic;Developer;../fake-data/blob/hipster.txt;51228;Cotton;Dynamic ivory Cambridgeshire;41927;true
