id;filtro;idioma;grafico_de_esforco;grafico_de_custos;grafico_de_desempenho;grafico_de_tarefas;senha_em_recuperacao
1;open-source Generic methodologies;XSS Investment Account Investor;true;false;true;true;false
2;matrix;deposit Auto Loan Account Avon;false;false;false;false;false
3;lavender;copying primary invoice;false;true;true;true;true
4;Chile foreground Buckinghamshire;Zimbabwe Dollar Salad;true;false;false;true;false
5;Antigua and Barbuda Personal Loan Account Utah;Trail;false;false;false;false;false
6;Tasty Fresh Pizza Jewelery monitoring;Russian Federation Gorgeous ROI;false;false;false;true;true
7;Borders;Integration;false;true;true;false;true
8;Sleek Fresh Shoes Borders Internal;open-source Ouguiya;true;true;false;true;true
9;optical deposit;Pizza Fish next-generation;false;true;true;true;false
10;El Salvador Colon US Dollar purple;XSS RSS Outdoors;true;false;false;true;false
