id;local_state;begin_date;end_date;working_hours;date_delegated_to;date_delegated_from
1;Road Intranet Avon;2019-10-13;2019-10-13;83283;2019-10-13;2019-10-13
2;PCI Tasty Corporate;2019-10-13;2019-10-13;5439;2019-10-13;2019-10-13
3;Technician Gorgeous Rubber Keyboard calculate;2019-10-13;2019-10-13;41382;2019-10-13;2019-10-13
4;Practical Rubber Chicken Street Directives;2019-10-14;2019-10-14;68539;2019-10-13;2019-10-14
5;Chicken Street;2019-10-13;2019-10-13;68570;2019-10-13;2019-10-13
6;withdrawal Markets;2019-10-13;2019-10-13;58449;2019-10-13;2019-10-13
7;invoice;2019-10-14;2019-10-13;74056;2019-10-13;2019-10-14
8;Checking Account Kwanza;2019-10-14;2019-10-13;23079;2019-10-14;2019-10-13
9;Personal Loan Account Team-oriented;2019-10-13;2019-10-13;59677;2019-10-13;2019-10-13
10;Agent Czech Koruna scale;2019-10-13;2019-10-13;88458;2019-10-13;2019-10-13
