id;ident;description;user_defined
1;microchip;../fake-data/blob/hipster.txt;true
2;Investment Account IB;../fake-data/blob/hipster.txt;true
3;Fish;../fake-data/blob/hipster.txt;false
4;Plastic Libyan Dinar;../fake-data/blob/hipster.txt;true
5;Rubber;../fake-data/blob/hipster.txt;true
6;deposit Colorado;../fake-data/blob/hipster.txt;false
7;customized Incredible Concrete Fish;../fake-data/blob/hipster.txt;false
8;Washington Licensed;../fake-data/blob/hipster.txt;true
9;Norfolk Island Bond Markets Units European Composite Unit (EURCO);../fake-data/blob/hipster.txt;false
10;Kentucky Solutions;../fake-data/blob/hipster.txt;false
