Group WorkGroup
Configuration SpmConfiguration
Join JoinCon
Branch BranchCon
BranchAND BranchANDCon
BranchCond BranchConCond
BranchCondToActivity BranchConCondToActivity
BranchCondToMultipleCon BranchConCondToMultipleCon
Log SpmLog
Repository VCSRepository
System DevelopingSystem
ReqGroup ReqWorkGroup
ResourceInstantiationSuggestion ResourceInstSug
PeopleInstantiationSuggestion PeopleInstSug
AgentInstantiationSuggestion AgentInstSug
GroupInstantiationSuggestion WorkGroupInstSug
GroupEstimation WorkGroupEstimation
GroupMetric WorkGroupMetric
GroupType WorkGroupType
ToolParameters ToolParameter
Parameters Parameter
InvolvedArtifacts InvolvedArtifact
AuthorStats AuthorStat
AssetStats AssetStat
